,timestep,signal,consumption
0,20000.0,47160.143691249184,54000.0
1,20001.0,41866.50733906591,60000.0
2,20002.0,40272.77716668318,48000.0
3,20003.0,39710.558986200806,42000.0
4,20004.0,38552.618280910654,36000.0
5,20005.0,39688.39979095667,36000.0
6,20006.0,43190.19041430075,30000.0
7,20007.0,45003.38834223994,42000.0
8,20008.0,44161.00141251143,54000.0
9,20009.0,44769.08116580397,48000.0
10,20010.0,46719.7094455787,54000.0
11,20011.0,45775.5626444254,48000.0
12,20012.0,45367.29932295188,54000.0
13,20013.0,46895.183847207736,60000.0
14,20014.0,46664.36407802741,48000.0
15,20015.0,46018.40390423507,48000.0
16,20016.0,47239.927693283054,54000.0
17,20017.0,49090.28413639409,48000.0
18,20018.0,48445.465360884016,30000.0
19,20019.0,48637.188651762895,36000.0
20,20020.0,48609.02224562703,36000.0
21,20021.0,49226.86861665229,48000.0
22,20022.0,52353.34724576895,54000.0
23,20023.0,55959.684559679416,54000.0
24,20024.0,56529.34107084042,54000.0
25,20025.0,55235.92727947827,60000.0
26,20026.0,54772.841921169296,54000.0
27,20027.0,53031.41429835337,54000.0
28,20028.0,50525.112631487056,60000.0
29,20029.0,46603.31513039079,54000.0
30,20030.0,43349.84043257599,48000.0
31,20031.0,42274.9508796365,42000.0
32,20032.0,39511.086933368024,36000.0
33,20033.0,40530.30829462329,36000.0
34,20034.0,44552.276922138364,42000.0
35,20035.0,49350.43251709839,42000.0
36,20036.0,51039.392107853586,54000.0
37,20037.0,51978.27230398849,54000.0
38,20038.0,49922.309811527215,48000.0
39,20039.0,48179.97319591532,54000.0
40,20040.0,45595.29959498039,60000.0
41,20041.0,45480.091312309174,54000.0
42,20042.0,47379.474168672634,48000.0
43,20043.0,49482.315674405145,48000.0
44,20044.0,50584.67332542194,48000.0
45,20045.0,51186.31967803805,42000.0
46,20046.0,48441.174039109384,48000.0
47,20047.0,46252.99420310959,48000.0
48,20048.0,43772.562297068594,54000.0
49,20049.0,42968.938158974874,54000.0
50,20050.0,42341.09175098961,48000.0
51,20051.0,38423.705544755765,48000.0
52,20052.0,36067.84514803639,42000.0
53,20053.0,32734.730008682745,48000.0
54,20054.0,31240.260041236426,48000.0
55,20055.0,33065.99577468874,54000.0
56,20056.0,36519.33539230324,36000.0
57,20057.0,39280.87567674968,36000.0
58,20058.0,42690.04417862218,36000.0
59,20059.0,48179.97319591532,42000.0
60,20060.0,53680.54852920986,54000.0
61,20061.0,55198.0801812918,60000.0
62,20062.0,56929.3731259954,66000.0
63,20063.0,57212.62756579736,54000.0
64,20064.0,56556.13379813397,60000.0
65,20065.0,55534.37772876838,54000.0
66,20066.0,53120.68868437723,54000.0
67,20067.0,52608.503639984454,54000.0
68,20068.0,54247.102615155025,48000.0
69,20069.0,55560.32478919956,48000.0
70,20070.0,56270.14228642712,54000.0
71,20071.0,55953.62133273563,54000.0
72,20072.0,53768.220257474655,54000.0
73,20073.0,50932.79553339445,60000.0
74,20074.0,50347.02171049558,48000.0
75,20075.0,50183.73150413166,48000.0
76,20076.0,47221.59856491203,54000.0
77,20077.0,44110.44759201825,54000.0
78,20078.0,43440.206187244396,54000.0
79,20079.0,48179.97319591532,48000.0
80,20080.0,52759.46449318172,36000.0
81,20081.0,54136.62035214,42000.0
82,20082.0,52977.364295851934,54000.0
83,20083.0,51354.46913172484,54000.0
84,20084.0,51223.00501001641,54000.0
85,20085.0,51509.921187397835,60000.0
86,20086.0,49570.26806393891,54000.0
87,20087.0,46667.828125001135,48000.0
88,20088.0,47663.205130951406,48000.0
89,20089.0,49649.893264013364,54000.0
90,20090.0,51157.50832835885,48000.0
91,20091.0,52430.42167372251,42000.0
92,20092.0,51764.895043230106,36000.0
93,20093.0,49732.673692954195,42000.0
94,20094.0,51780.89974430245,54000.0
95,20095.0,53656.84337235208,54000.0
96,20096.0,52842.230287935585,54000.0
97,20097.0,52401.2628714081,54000.0
98,20098.0,49635.11318074491,60000.0
99,20099.0,47417.92923348267,48000.0
100,20100.0,46449.9868756633,42000.0
101,20101.0,44287.946962493144,54000.0
102,20102.0,44555.674499830726,48000.0
103,20103.0,47258.563511070184,42000.0
104,20104.0,49687.39603251245,30000.0
105,20105.0,51106.978652945,36000.0
106,20106.0,51146.263349494904,54000.0
107,20107.0,46835.861400322414,60000.0
108,20108.0,46085.30917162651,54000.0
109,20109.0,44615.857766871006,48000.0
110,20110.0,42569.086463368534,60000.0
111,20111.0,41144.206693270105,48000.0
112,20112.0,38016.10093852943,48000.0
113,20113.0,37541.24602162787,36000.0
114,20114.0,37686.70435234933,42000.0
115,20115.0,38956.4124801642,48000.0
116,20116.0,42560.00595146907,30000.0
117,20117.0,46188.37487433201,30000.0
118,20118.0,46768.71156362438,36000.0
119,20119.0,47417.92923348267,48000.0
120,20120.0,48340.0038189852,60000.0
121,20121.0,48327.856100035264,54000.0
122,20122.0,51894.181903843084,54000.0
123,20123.0,54028.78490919118,66000.0
124,20124.0,56037.046398439175,60000.0
125,20125.0,56194.146652590745,54000.0
126,20126.0,55388.664625257385,54000.0
127,20127.0,54367.67575418718,54000.0
128,20128.0,50339.32994645612,54000.0
129,20129.0,44785.76197546342,48000.0
130,20130.0,39949.245731520095,36000.0
131,20131.0,37411.49424092142,36000.0
132,20132.0,36575.12382625068,36000.0
133,20133.0,39994.47842541358,30000.0
134,20134.0,41247.066835306905,30000.0
135,20135.0,42798.17416350868,36000.0
136,20136.0,44389.50112145756,42000.0
137,20137.0,45787.633020712434,54000.0
138,20138.0,46705.2173452737,48000.0
139,20139.0,47417.92923348267,54000.0
140,20140.0,48091.74774366906,48000.0
141,20141.0,50027.270496879995,54000.0
142,20142.0,51211.86675412018,54000.0
143,20143.0,50850.271071613,54000.0
144,20144.0,52335.09756395837,60000.0
145,20145.0,54937.439443539195,48000.0
146,20146.0,55877.0988412022,60000.0
147,20147.0,54233.28822023829,54000.0
148,20148.0,53903.28640098015,54000.0
149,20149.0,54927.06208884567,54000.0
150,20150.0,56247.67969086001,54000.0
151,20151.0,55173.42144679755,54000.0
152,20152.0,51908.581241726526,54000.0
153,20153.0,50030.16120680943,60000.0
154,20154.0,50557.60377156952,54000.0
155,20155.0,50627.99704104024,48000.0
156,20156.0,49539.38033792547,42000.0
157,20157.0,48939.63306641556,42000.0
158,20158.0,48681.767462561314,54000.0
159,20159.0,47417.92923348267,48000.0
160,20160.0,45862.57735133136,48000.0
161,20161.0,44990.29680682376,54000.0
162,20162.0,46960.88026540722,54000.0
163,20163.0,48888.00754179267,54000.0
164,20164.0,50085.45831922564,54000.0
165,20165.0,51247.21863206544,60000.0
166,20166.0,51554.729729219034,48000.0
167,20167.0,52393.42381455453,48000.0
168,20168.0,53949.3514637096,54000.0
169,20169.0,54639.334011443534,54000.0
170,20170.0,54751.36750189702,60000.0
171,20171.0,57135.25733221108,48000.0
172,20172.0,56434.93933189917,48000.0
173,20173.0,55666.46356932685,54000.0
174,20174.0,54274.99216107474,54000.0
175,20175.0,54848.81310936009,54000.0
176,20176.0,53956.71484260319,54000.0
177,20177.0,51507.469296172516,48000.0
178,20178.0,50089.13854140898,36000.0
179,20179.0,47066.74103589526,48000.0
180,20180.0,42371.61525968168,42000.0
181,20181.0,38163.852539250234,36000.0
182,20182.0,35549.283702508634,36000.0
183,20183.0,31495.62268187025,30000.0
184,20184.0,30073.22844712479,30000.0
185,20185.0,29999.25268217107,24000.0
186,20186.0,28146.628434579903,30000.0
187,20187.0,26872.919024848994,24000.0
188,20188.0,28169.175264064594,24000.0
189,20189.0,29695.576869029876,18000.0
190,20190.0,31420.632077693226,30000.0
191,20191.0,34347.919246605896,48000.0
192,20192.0,37326.203999033474,48000.0
193,20193.0,40757.24553241047,48000.0
194,20194.0,43823.41638409084,48000.0
195,20195.0,47258.755022113335,54000.0
196,20196.0,48912.90497141392,54000.0
197,20197.0,48052.71474153608,54000.0
198,20198.0,47486.688960413274,54000.0
199,20199.0,47066.74103589526,48000.0
200,20200.0,45982.6253241662,42000.0
201,20201.0,45603.98886775099,36000.0
202,20202.0,44125.65946019136,48000.0
203,20203.0,46158.64039940675,54000.0
204,20204.0,49425.31575698633,48000.0
205,20205.0,51488.701871439654,54000.0
206,20206.0,54165.647011119174,48000.0
207,20207.0,55632.87800305435,54000.0
208,20208.0,55167.591546909796,54000.0
209,20209.0,55223.16154818673,54000.0
210,20210.0,55328.312030094145,54000.0
211,20211.0,52480.70258890109,48000.0
212,20212.0,51541.14281118507,48000.0
213,20213.0,51195.14011735353,36000.0
214,20214.0,50255.4950308414,54000.0
215,20215.0,48544.61403661027,48000.0
216,20216.0,48548.09782272453,48000.0
217,20217.0,47519.86761505358,54000.0
218,20218.0,47343.50109486886,48000.0
219,20219.0,47066.74103589526,54000.0
220,20220.0,49386.29355640511,54000.0
221,20221.0,51256.947384998646,54000.0
222,20222.0,49685.59725673906,48000.0
223,20223.0,47951.44492820407,48000.0
224,20224.0,45672.72361088483,42000.0
225,20225.0,43188.75292199387,42000.0
226,20226.0,40559.87765650648,48000.0
227,20227.0,38548.0576932,54000.0
228,20228.0,37997.5057213199,48000.0
229,20229.0,40812.98470829521,48000.0
230,20230.0,42486.891752502095,48000.0
231,20231.0,40880.664275905234,48000.0
232,20232.0,37400.77375117103,54000.0
233,20233.0,34466.748936378324,54000.0
234,20234.0,36186.19645879076,54000.0
235,20235.0,37623.87591546884,42000.0
236,20236.0,38723.61602845715,48000.0
237,20237.0,42208.793489336625,36000.0
238,20238.0,44459.54686293498,54000.0
239,20239.0,47066.74103589526,60000.0
240,20240.0,51092.22351736951,48000.0
241,20241.0,54278.27424968297,60000.0
242,20242.0,56462.43767385902,48000.0
243,20243.0,60041.641271304325,54000.0
244,20244.0,64892.84124010849,54000.0
245,20245.0,67679.44464811787,60000.0
246,20246.0,68512.1483933577,54000.0
247,20247.0,66170.4725856031,54000.0
248,20248.0,63517.589600356296,54000.0
249,20249.0,59387.82006115954,60000.0
250,20250.0,53597.09152278075,66000.0
251,20251.0,51018.696813027535,54000.0
252,20252.0,50625.415431274916,48000.0
253,20253.0,49145.67432288429,54000.0
254,20254.0,47557.86119642037,48000.0
255,20255.0,46556.64561353249,54000.0
256,20256.0,46899.18199970982,54000.0
257,20257.0,47973.41585525196,48000.0
258,20258.0,48723.09128624464,42000.0
259,20259.0,47734.68911144296,42000.0
260,20260.0,46783.307627209695,48000.0
261,20261.0,47778.3648140769,48000.0
262,20262.0,48693.260639598855,54000.0
263,20263.0,49718.001138613065,42000.0
264,20264.0,46966.5984635779,48000.0
265,20265.0,45225.90057607281,54000.0
266,20266.0,46068.92262212262,48000.0
267,20267.0,44804.82832793687,48000.0
268,20268.0,42570.89124786015,54000.0
269,20269.0,42664.10312645348,36000.0
270,20270.0,43487.737627864975,36000.0
271,20271.0,43125.79332101998,36000.0
272,20272.0,42850.98783333935,42000.0
273,20273.0,42301.47799248878,42000.0
274,20274.0,43126.773785610334,36000.0
275,20275.0,43341.32770842747,30000.0
276,20276.0,42436.1153102773,48000.0
277,20277.0,44774.539443169786,54000.0
278,20278.0,45948.49449417399,48000.0
279,20279.0,47734.68911144296,48000.0
280,20280.0,50242.65408234725,54000.0
281,20281.0,52110.1791690066,54000.0
282,20282.0,52241.64387135313,54000.0
283,20283.0,54304.48471888846,54000.0
284,20284.0,54386.1830002368,54000.0
285,20285.0,54504.30566256459,54000.0
286,20286.0,57270.49823881767,42000.0
287,20287.0,57912.86653468654,48000.0
288,20288.0,57629.93196545599,48000.0
289,20289.0,57898.09811089577,60000.0
290,20290.0,56456.800897078916,48000.0
291,20291.0,54929.56044990558,48000.0
292,20292.0,57313.48000582356,54000.0
293,20293.0,56210.97639614953,54000.0
294,20294.0,55723.987785354235,60000.0
295,20295.0,53793.159532166654,54000.0
296,20296.0,51046.61768005183,54000.0
297,20297.0,50116.16104376312,42000.0
298,20298.0,48825.92262768888,36000.0
299,20299.0,47734.68911144296,36000.0
300,20300.0,47035.26847151348,48000.0
301,20301.0,44713.758295527296,60000.0
302,20302.0,43380.008869205165,48000.0
303,20303.0,40529.68431549778,42000.0
304,20304.0,37728.64402645784,54000.0
305,20305.0,36996.43208267834,54000.0
306,20306.0,37193.696265162114,48000.0
307,20307.0,38741.53213234644,48000.0
308,20308.0,43241.89961462266,54000.0
309,20309.0,46729.27813410893,48000.0
310,20310.0,50477.354973303954,36000.0
311,20311.0,55261.10574917878,36000.0
312,20312.0,57405.752032765704,48000.0
313,20313.0,59089.09966480353,66000.0
314,20314.0,58794.3747353469,48000.0
315,20315.0,56383.361976683045,54000.0
316,20316.0,54488.10709226945,60000.0
317,20317.0,53063.35390119412,60000.0
318,20318.0,50830.16933173068,60000.0
319,20319.0,47734.68911144296,54000.0
320,20320.0,44232.17256678599,60000.0
321,20321.0,40009.177020618314,48000.0
322,20322.0,38109.280475495056,36000.0
323,20323.0,36260.023034387654,30000.0
324,20324.0,38561.22315356799,42000.0
325,20325.0,41733.92953420777,36000.0
326,20326.0,40967.07419001118,48000.0
327,20327.0,40568.70490688847,42000.0
