,timestep,signal,consumption
0,20000.0,51288.70749896524,42000.0
1,20001.0,50888.05229615526,36000.0
2,20002.0,46864.583224045,42000.0
3,20003.0,44852.60748505124,48000.0
4,20004.0,43802.82343596566,42000.0
5,20005.0,41768.836683862864,48000.0
6,20006.0,38775.200160694854,54000.0
7,20007.0,37254.347892139434,48000.0
8,20008.0,38412.73552370617,42000.0
9,20009.0,36571.622191203394,48000.0
10,20010.0,35823.50129672659,54000.0
11,20011.0,38745.6789990146,54000.0
12,20012.0,37646.964734018766,42000.0
13,20013.0,39403.296714269076,36000.0
14,20014.0,39101.51811269925,42000.0
15,20015.0,40947.678272936755,36000.0
16,20016.0,46075.82742619678,36000.0
17,20017.0,49078.78788719282,42000.0
18,20018.0,51945.5329508037,60000.0
19,20019.0,50196.90324979992,54000.0
20,20020.0,46647.01185618948,54000.0
21,20021.0,46149.15746912815,54000.0
22,20022.0,48752.02955258447,54000.0
23,20023.0,50235.137907466175,54000.0
24,20024.0,48768.88967228538,54000.0
25,20025.0,49916.85170998001,60000.0
26,20026.0,51532.13068406822,48000.0
27,20027.0,51386.92875445425,42000.0
28,20028.0,49334.491761733254,42000.0
29,20029.0,46010.05724801973,48000.0
30,20030.0,42570.97713798473,54000.0
31,20031.0,41563.437992899075,48000.0
32,20032.0,40435.67923884096,42000.0
33,20033.0,42896.82937790452,48000.0
34,20034.0,44516.97783782514,54000.0
35,20035.0,46330.18252823695,54000.0
36,20036.0,46864.930015107115,54000.0
37,20037.0,45448.69771730903,60000.0
38,20038.0,44378.75446638621,48000.0
39,20039.0,48055.28569044821,42000.0
40,20040.0,51683.88004593036,42000.0
41,20041.0,53849.055535070984,42000.0
42,20042.0,53168.10803443487,60000.0
43,20043.0,54801.4483095146,54000.0
44,20044.0,58890.19616658567,54000.0
45,20045.0,61848.77239068933,54000.0
46,20046.0,59649.85626748913,54000.0
47,20047.0,55981.37094980027,54000.0
48,20048.0,55420.484798816535,54000.0
49,20049.0,55443.1951032211,54000.0
50,20050.0,53911.81774650843,54000.0
51,20051.0,53373.36586785844,60000.0
52,20052.0,51560.831720658454,54000.0
53,20053.0,49248.19846885061,48000.0
54,20054.0,48078.211037899644,54000.0
55,20055.0,48024.15902335147,48000.0
56,20056.0,49928.35303059352,54000.0
57,20057.0,52634.94304776197,54000.0
58,20058.0,51534.48962977001,54000.0
59,20059.0,48055.28569044821,54000.0
60,20060.0,45163.28099899345,42000.0
61,20061.0,44279.678162689175,42000.0
62,20062.0,46440.259087293714,36000.0
63,20063.0,45575.63812989177,36000.0
64,20064.0,46265.60086802573,36000.0
65,20065.0,48508.225950924185,48000.0
66,20066.0,49152.74989538343,54000.0
67,20067.0,49126.60453527105,48000.0
68,20068.0,50693.48965205261,48000.0
69,20069.0,49981.70924359741,48000.0
70,20070.0,47833.723103074226,48000.0
71,20071.0,47901.85245983631,54000.0
72,20072.0,49048.60340587398,54000.0
73,20073.0,48116.618697804,60000.0
74,20074.0,46360.65928635111,48000.0
75,20075.0,46101.13766130087,36000.0
76,20076.0,43136.82700931022,36000.0
77,20077.0,41187.323510164155,48000.0
78,20078.0,44367.87063821108,48000.0
79,20079.0,48055.28569044821,54000.0
80,20080.0,49318.005228515976,54000.0
81,20081.0,51575.2166846732,48000.0
82,20082.0,52127.49587010897,54000.0
83,20083.0,51187.60048362416,54000.0
84,20084.0,47302.361192531906,54000.0
85,20085.0,44957.608178026356,54000.0
86,20086.0,44289.67817151206,48000.0
87,20087.0,41972.6777509175,36000.0
88,20088.0,40374.88366846886,36000.0
89,20089.0,39100.644290779455,30000.0
90,20090.0,38172.648194180685,30000.0
91,20091.0,37590.47023164714,30000.0
92,20092.0,37388.78882905112,36000.0
93,20093.0,42941.894183537195,42000.0
94,20094.0,47085.88776360001,36000.0
95,20095.0,51124.12183234869,54000.0
96,20096.0,54560.21974501098,54000.0
97,20097.0,51906.22391336662,60000.0
98,20098.0,49324.845924986694,60000.0
99,20099.0,48609.40032385638,60000.0
100,20100.0,47090.6477637293,54000.0
101,20101.0,43244.56886859198,54000.0
102,20102.0,41107.38122640296,42000.0
103,20103.0,43206.92541472378,36000.0
104,20104.0,45556.05938711005,48000.0
105,20105.0,49054.13173041082,42000.0
106,20106.0,54618.61119419869,54000.0
107,20107.0,55341.68931961929,54000.0
108,20108.0,56366.897984184216,54000.0
109,20109.0,56581.81678967198,54000.0
110,20110.0,55514.478718644874,60000.0
111,20111.0,56760.09005227574,54000.0
112,20112.0,57349.96559207933,54000.0
113,20113.0,57752.577684628,54000.0
114,20114.0,56555.326885925155,48000.0
115,20115.0,55213.97928230793,42000.0
116,20116.0,52689.34010997633,42000.0
117,20117.0,50429.28049500125,54000.0
118,20118.0,48791.46371686292,54000.0
119,20119.0,48609.40032385638,54000.0
120,20120.0,47537.356866591086,54000.0
121,20121.0,46205.91476623779,54000.0
122,20122.0,47769.0763766867,54000.0
123,20123.0,49005.2916331015,48000.0
124,20124.0,53048.147552648916,48000.0
125,20125.0,57426.56122173202,54000.0
126,20126.0,60295.32841845855,48000.0
127,20127.0,61171.57264725611,48000.0
128,20128.0,60124.77026725911,54000.0
129,20129.0,56191.88806491776,54000.0
130,20130.0,51677.41708418874,54000.0
131,20131.0,50475.43194164335,60000.0
132,20132.0,53416.456080167205,60000.0
133,20133.0,54599.980288436025,60000.0
134,20134.0,56977.934765484315,66000.0
135,20135.0,59863.58770584109,54000.0
136,20136.0,57427.323358506655,60000.0
137,20137.0,55198.621337670615,48000.0
138,20138.0,52793.20952886538,54000.0
139,20139.0,48609.40032385638,48000.0
140,20140.0,43596.06890134044,54000.0
141,20141.0,43242.68369260905,48000.0
142,20142.0,42634.704194640246,54000.0
143,20143.0,40069.51601039324,54000.0
144,20144.0,39227.467660744005,48000.0
145,20145.0,39953.58782139114,54000.0
146,20146.0,40850.51791626165,42000.0
147,20147.0,42582.801187873156,36000.0
148,20148.0,42524.02844888529,36000.0
149,20149.0,41497.60655513491,36000.0
150,20150.0,40376.82676985617,30000.0
151,20151.0,39376.29920425637,36000.0
152,20152.0,41173.88820898739,36000.0
153,20153.0,41241.20994777502,42000.0
154,20154.0,39943.4346558432,48000.0
155,20155.0,39724.24854564792,54000.0
156,20156.0,41364.5691111903,54000.0
157,20157.0,41941.356205927514,54000.0
158,20158.0,45705.30444969544,48000.0
159,20159.0,48609.40032385638,48000.0
160,20160.0,50039.351389053474,48000.0
161,20161.0,52333.71170243637,54000.0
162,20162.0,55163.34845115412,42000.0
163,20163.0,54192.77193949267,42000.0
164,20164.0,52611.129410691465,48000.0
165,20165.0,50415.45330546013,54000.0
166,20166.0,46796.263942251084,54000.0
167,20167.0,45029.95168086495,60000.0
168,20168.0,45863.71101507072,54000.0
169,20169.0,44615.90505796626,54000.0
170,20170.0,44059.424962816076,54000.0
171,20171.0,46124.7292544585,48000.0
172,20172.0,44593.744133990265,54000.0
173,20173.0,43757.47856781956,54000.0
174,20174.0,44251.15627114922,48000.0
175,20175.0,46578.33120584874,42000.0
176,20176.0,47095.66531787936,48000.0
177,20177.0,45496.69343989845,48000.0
178,20178.0,45212.48501429656,54000.0
179,20179.0,47502.49101435496,60000.0
180,20180.0,48890.19106978327,54000.0
181,20181.0,48966.87209440969,54000.0
182,20182.0,48726.71707141053,54000.0
183,20183.0,48675.64284477105,54000.0
184,20184.0,49017.20587536498,48000.0
185,20185.0,49478.66945049256,48000.0
186,20186.0,49489.402292026345,48000.0
187,20187.0,49962.26584854278,54000.0
188,20188.0,52806.65307408934,48000.0
189,20189.0,53895.209188846464,48000.0
190,20190.0,53670.01474349445,60000.0
191,20191.0,54005.21248378292,60000.0
192,20192.0,54253.56969171133,60000.0
193,20193.0,52362.277239629606,54000.0
194,20194.0,52337.03465976984,54000.0
195,20195.0,52684.891257761155,48000.0
196,20196.0,50633.859363673095,48000.0
197,20197.0,47528.92205987859,42000.0
198,20198.0,47891.69319196313,36000.0
199,20199.0,47502.49101435496,42000.0
200,20200.0,46837.16736353708,42000.0
201,20201.0,49648.88210700585,48000.0
202,20202.0,51492.40968459444,54000.0
203,20203.0,52314.65529452568,54000.0
204,20204.0,50318.12922483069,60000.0
205,20205.0,48232.43650773718,54000.0
206,20206.0,46211.47475408707,42000.0
207,20207.0,45790.31418879689,42000.0
208,20208.0,46314.435597304735,48000.0
209,20209.0,46599.60749934121,42000.0
210,20210.0,46547.167725854255,36000.0
211,20211.0,45395.76186744296,30000.0
212,20212.0,42712.901723998715,36000.0
213,20213.0,41573.39404741634,42000.0
214,20214.0,44041.262145526634,42000.0
215,20215.0,46456.83753395297,54000.0
216,20216.0,47873.596269256595,60000.0
217,20217.0,46575.40043458128,54000.0
218,20218.0,45051.875006324844,54000.0
219,20219.0,47502.49101435496,54000.0
220,20220.0,49842.69709785234,54000.0
221,20221.0,48871.71797289128,54000.0
222,20222.0,49325.836421732485,42000.0
223,20223.0,49193.861377899,42000.0
224,20224.0,50046.8887882274,42000.0
225,20225.0,52662.23786140459,42000.0
226,20226.0,54574.152018389774,54000.0
227,20227.0,56435.92857463094,54000.0
228,20228.0,56033.61751234173,60000.0
229,20229.0,54433.94028061464,54000.0
230,20230.0,52435.399634023175,54000.0
231,20231.0,53553.182443886915,54000.0
232,20232.0,54856.44147898099,54000.0
233,20233.0,55546.64715698952,54000.0
234,20234.0,55605.96842926408,54000.0
235,20235.0,55598.66978863583,54000.0
236,20236.0,54327.344162003516,48000.0
237,20237.0,51102.515122092285,54000.0
238,20238.0,48940.547660832264,54000.0
239,20239.0,47502.49101435496,54000.0
240,20240.0,45004.21679968536,60000.0
241,20241.0,44843.721271681454,54000.0
242,20242.0,45237.27609959525,54000.0
243,20243.0,43632.80154673849,54000.0
244,20244.0,43963.44484752684,48000.0
245,20245.0,44710.075394725376,42000.0
246,20246.0,44968.71057681207,30000.0
247,20247.0,45818.28380047154,30000.0
248,20248.0,45251.60667221457,24000.0
249,20249.0,45834.13272597804,36000.0
250,20250.0,45864.27681571576,36000.0
251,20251.0,44880.17562588617,36000.0
252,20252.0,45849.41211329671,36000.0
253,20253.0,47970.8332108441,36000.0
254,20254.0,48560.91287046038,48000.0
255,20255.0,48717.68625409264,48000.0
256,20256.0,48943.92665733384,54000.0
257,20257.0,48513.32070760674,54000.0
258,20258.0,49199.87450782148,54000.0
259,20259.0,47638.33219988604,48000.0
260,20260.0,44494.97800023897,42000.0
261,20261.0,41755.53813535128,48000.0
262,20262.0,40577.458303845604,54000.0
263,20263.0,38976.48565380642,48000.0
264,20264.0,37367.27668495594,36000.0
265,20265.0,35895.76466357449,30000.0
266,20266.0,35562.43787356923,30000.0
267,20267.0,33627.07184510905,24000.0
268,20268.0,32930.98761488008,30000.0
269,20269.0,30897.629424053102,30000.0
270,20270.0,29874.197974715997,30000.0
271,20271.0,31900.486605838814,30000.0
272,20272.0,33908.77160736727,30000.0
273,20273.0,34594.10586790677,36000.0
274,20274.0,32474.79159531546,36000.0
275,20275.0,32158.230221882968,30000.0
276,20276.0,36114.56652162824,24000.0
277,20277.0,41131.91581413227,30000.0
