,timestep,signal,consumption
0,20000.0,49406.77792784772,54000.0
1,20001.0,53571.30918843925,60000.0
2,20002.0,56809.24377855629,54000.0
3,20003.0,59085.032495868654,48000.0
4,20004.0,58432.23667556165,54000.0
5,20005.0,56686.44072867783,54000.0
6,20006.0,56721.59117652505,54000.0
7,20007.0,56681.14168274664,54000.0
8,20008.0,56729.91925709154,54000.0
9,20009.0,58311.3558538575,54000.0
10,20010.0,58026.864327354735,60000.0
11,20011.0,54359.46681283129,60000.0
12,20012.0,52516.72308079539,54000.0
13,20013.0,50361.28926620767,60000.0
14,20014.0,48710.25903639006,54000.0
15,20015.0,49036.55862939054,48000.0
16,20016.0,49601.66905036073,54000.0
17,20017.0,47530.61202959639,48000.0
18,20018.0,46445.62877656436,42000.0
19,20019.0,48916.605502492384,36000.0
20,20020.0,51965.753977884895,42000.0
21,20021.0,51879.69624862756,54000.0
22,20022.0,51037.02080757619,60000.0
23,20023.0,49394.65607812258,60000.0
24,20024.0,45844.218843450515,54000.0
25,20025.0,41921.10905057342,60000.0
26,20026.0,41375.815346245756,54000.0
27,20027.0,41200.069587223086,48000.0
28,20028.0,42654.057289372155,54000.0
29,20029.0,42001.08894845155,42000.0
30,20030.0,41465.55456295447,36000.0
31,20031.0,41618.13515872355,30000.0
32,20032.0,41337.21322163125,36000.0
33,20033.0,42376.22522621213,36000.0
34,20034.0,41683.515826933784,36000.0
35,20035.0,42039.324907855305,42000.0
36,20036.0,43275.1604414641,48000.0
37,20037.0,42811.78949458145,60000.0
38,20038.0,45121.14272868545,54000.0
39,20039.0,48967.606977026626,48000.0
40,20040.0,52099.09616577243,54000.0
41,20041.0,54502.44963611816,48000.0
42,20042.0,57320.99246708271,42000.0
43,20043.0,57239.36027692087,48000.0
44,20044.0,58744.52273539336,60000.0
45,20045.0,58389.9123412892,60000.0
46,20046.0,56415.94742295406,60000.0
47,20047.0,54873.783834973525,60000.0
48,20048.0,52118.00029472429,54000.0
49,20049.0,49884.159515379615,60000.0
50,20050.0,48716.308906673396,54000.0
51,20051.0,45778.84560470769,48000.0
52,20052.0,42939.03819134313,54000.0
53,20053.0,41749.87827513501,48000.0
