,timestep,signal,consumption
0,20000.0,49471.33038091231,54000.0
1,20001.0,54573.799565161054,54000.0
2,20002.0,60682.27977674198,54000.0
3,20003.0,62627.3146916862,66000.0
4,20004.0,61987.85084344846,54000.0
5,20005.0,61220.297987153885,66000.0
6,20006.0,59648.16415927101,54000.0
7,20007.0,54378.69104695413,54000.0
8,20008.0,52556.65936902099,60000.0
9,20009.0,49197.12472795692,54000.0
10,20010.0,45190.32082902407,54000.0
11,20011.0,43979.85373592027,54000.0
12,20012.0,41099.932696683754,48000.0
13,20013.0,37334.44586729864,30000.0
14,20014.0,37031.963744457804,30000.0
15,20015.0,37076.65314303987,30000.0
16,20016.0,37259.13830942719,30000.0
17,20017.0,40642.02846369314,24000.0
18,20018.0,45254.8246127149,24000.0
19,20019.0,48413.62814049239,36000.0
20,20020.0,51868.45279591897,42000.0
21,20021.0,53687.53299911664,60000.0
22,20022.0,55644.712936384036,54000.0
23,20023.0,58631.51312901314,48000.0
24,20024.0,63199.45370787651,60000.0
25,20025.0,64190.168054504815,54000.0
26,20026.0,65271.74076084778,54000.0
27,20027.0,65805.02839448949,60000.0
28,20028.0,63955.10655017263,66000.0
29,20029.0,62027.585692558016,72000.0
30,20030.0,59623.41559444037,66000.0
31,20031.0,56508.17216475421,54000.0
32,20032.0,55803.506961945044,60000.0
33,20033.0,52544.13881360097,60000.0
34,20034.0,51933.687751704,48000.0
35,20035.0,52867.27206005655,48000.0
36,20036.0,50878.8305069777,54000.0
37,20037.0,48001.02706234244,54000.0
38,20038.0,46281.514616562425,42000.0
39,20039.0,50071.15103214184,36000.0
40,20040.0,53283.49554529975,36000.0
41,20041.0,53825.55926354481,48000.0
42,20042.0,54619.40684167031,48000.0
43,20043.0,53147.128173666904,54000.0
44,20044.0,51919.74388980192,60000.0
45,20045.0,50914.777357897285,60000.0
46,20046.0,49480.95779394998,54000.0
47,20047.0,50161.041665686425,48000.0
48,20048.0,47839.78133855174,54000.0
49,20049.0,44935.73839246095,54000.0
50,20050.0,41662.06358828656,48000.0
51,20051.0,37217.987017695545,42000.0
52,20052.0,38394.24721927029,42000.0
53,20053.0,40313.84232083388,48000.0
54,20054.0,41676.73331783993,48000.0
55,20055.0,44034.52215272281,48000.0
56,20056.0,46309.79928910901,54000.0
57,20057.0,48391.81015539496,60000.0
58,20058.0,49253.68909347061,54000.0
59,20059.0,50071.15103214184,48000.0
60,20060.0,50320.417145005595,54000.0
61,20061.0,50022.523205591955,48000.0
62,20062.0,50789.094045670834,42000.0
63,20063.0,50180.79523179794,36000.0
64,20064.0,50723.11126670413,42000.0
65,20065.0,51928.91978329932,48000.0
66,20066.0,47889.164812055256,54000.0
67,20067.0,43005.00162393273,54000.0
68,20068.0,41581.15139025923,54000.0
69,20069.0,42033.85711570104,60000.0
70,20070.0,42289.82260518527,54000.0
71,20071.0,42512.52034761021,48000.0
72,20072.0,42783.87726898745,54000.0
73,20073.0,39439.30237591949,48000.0
74,20074.0,38363.912811264774,42000.0
75,20075.0,38394.50351370126,42000.0
76,20076.0,39795.78056142826,36000.0
77,20077.0,42235.729962902406,30000.0
78,20078.0,46926.41257707501,42000.0
79,20079.0,50071.15103214184,54000.0
80,20080.0,53932.55467402359,60000.0
81,20081.0,56229.71299010084,60000.0
82,20082.0,57254.07638716318,54000.0
83,20083.0,55702.82098625842,54000.0
84,20084.0,56716.59931528899,54000.0
85,20085.0,57075.36881410812,54000.0
86,20086.0,53203.277341728375,48000.0
87,20087.0,50282.40102569904,54000.0
88,20088.0,49116.06295200799,54000.0
89,20089.0,52647.82338719092,42000.0
90,20090.0,55633.582590549646,48000.0
91,20091.0,54769.50626823657,54000.0
92,20092.0,52629.51718941975,60000.0
93,20093.0,52821.17005169469,60000.0
94,20094.0,53559.28196432809,54000.0
95,20095.0,53964.986573373084,48000.0
96,20096.0,52762.244316683165,54000.0
97,20097.0,49195.912438149004,54000.0
98,20098.0,47824.08129000278,42000.0
99,20099.0,48051.92963281168,42000.0
100,20100.0,49543.69172324783,42000.0
