,timestep,signal,consumption
0,20000.0,47223.27289430326,54000.0
1,20001.0,45281.229392350186,48000.0
2,20002.0,42101.78483054123,48000.0
3,20003.0,40372.54744704459,48000.0
4,20004.0,41309.56887895407,48000.0
5,20005.0,43495.76754685435,48000.0
6,20006.0,44134.65211805148,48000.0
7,20007.0,45094.04325310014,54000.0
8,20008.0,47287.02952497754,54000.0
9,20009.0,50147.28869605167,42000.0
10,20010.0,52867.239766322135,48000.0
11,20011.0,53422.88174170763,48000.0
12,20012.0,53267.42704220054,54000.0
13,20013.0,51094.57810324489,54000.0
14,20014.0,52783.403920973855,48000.0
15,20015.0,53753.67028676045,54000.0
16,20016.0,51332.30962411195,48000.0
17,20017.0,50202.727903888015,48000.0
18,20018.0,49669.751501383354,48000.0
19,20019.0,48338.96438308607,60000.0
20,20020.0,48364.4540407511,54000.0
21,20021.0,48868.70057066516,48000.0
22,20022.0,47552.38363410537,48000.0
23,20023.0,44486.61688051283,48000.0
24,20024.0,40576.66703834169,54000.0
25,20025.0,36058.93941811644,48000.0
26,20026.0,33626.76329935053,48000.0
27,20027.0,32417.96720056868,42000.0
28,20028.0,30135.93034033473,48000.0
29,20029.0,29158.322300527827,48000.0
30,20030.0,28485.756313722424,36000.0
31,20031.0,26909.169559713693,42000.0
32,20032.0,29592.417565727632,24000.0
33,20033.0,34109.139322175055,30000.0
34,20034.0,38668.10922204124,24000.0
35,20035.0,42650.14304394973,24000.0
36,20036.0,46873.868266890204,36000.0
37,20037.0,47049.30864842412,30000.0
38,20038.0,46829.90055155717,36000.0
39,20039.0,47777.39258133735,36000.0
40,20040.0,48844.167620642955,60000.0
41,20041.0,49398.315224067795,54000.0
42,20042.0,51715.61947481413,66000.0
43,20043.0,52855.243257712646,54000.0
44,20044.0,52916.70414445588,48000.0
45,20045.0,53131.72798887442,54000.0
46,20046.0,52343.40538690713,54000.0
47,20047.0,51248.42336881702,54000.0
48,20048.0,49116.97963333507,48000.0
49,20049.0,50155.776965828954,48000.0
50,20050.0,49463.674706507336,48000.0
51,20051.0,48196.95321282683,54000.0
52,20052.0,47697.49946467476,60000.0
53,20053.0,45556.37472002672,60000.0
54,20054.0,44163.269479470946,60000.0
55,20055.0,44413.96651511465,54000.0
56,20056.0,43978.91730274909,42000.0
57,20057.0,45428.219951641644,54000.0
58,20058.0,46248.173221931575,48000.0
59,20059.0,47777.39258133735,42000.0
60,20060.0,49251.4732889243,36000.0
61,20061.0,48064.33081481394,42000.0
62,20062.0,47660.13647453153,48000.0
63,20063.0,49407.22776105122,48000.0
64,20064.0,53242.16257736719,54000.0
65,20065.0,56181.261574845536,66000.0
66,20066.0,57876.10713872782,66000.0
67,20067.0,59323.2233611152,60000.0
68,20068.0,56874.35539728358,60000.0
69,20069.0,53403.53781790426,66000.0
70,20070.0,49456.78819244345,54000.0
71,20071.0,46488.82190701835,54000.0
72,20072.0,46727.575055524256,42000.0
73,20073.0,45946.00243135033,36000.0
74,20074.0,48232.3981317476,42000.0
75,20075.0,50286.79427966447,36000.0
76,20076.0,50390.97478510089,48000.0
77,20077.0,49341.240564267624,54000.0
78,20078.0,47619.192584543394,54000.0
79,20079.0,47777.39258133735,48000.0
80,20080.0,49264.058524009946,42000.0
81,20081.0,49828.103230065186,36000.0
82,20082.0,48711.479520890585,48000.0
83,20083.0,49474.31140347139,48000.0
84,20084.0,48221.80120160269,54000.0
85,20085.0,46179.9240244763,42000.0
86,20086.0,48482.38623920475,36000.0
87,20087.0,50464.963568786734,36000.0
88,20088.0,50742.31491884891,54000.0
89,20089.0,47030.247013977256,60000.0
90,20090.0,43369.50513418289,60000.0
91,20091.0,41585.02825203201,54000.0
92,20092.0,42164.60056984843,36000.0
93,20093.0,45695.55152152512,54000.0
94,20094.0,49135.78903901476,48000.0
95,20095.0,52275.34282417096,48000.0
96,20096.0,55063.025663666165,54000.0
97,20097.0,54244.60756880623,54000.0
98,20098.0,50846.218708507644,48000.0
99,20099.0,48467.709501604826,48000.0
100,20100.0,46508.02569486099,60000.0
101,20101.0,44627.99634624784,60000.0
102,20102.0,46495.96997008608,60000.0
103,20103.0,50789.6698094597,54000.0
104,20104.0,52910.97314826575,54000.0
105,20105.0,54795.16368379063,54000.0
106,20106.0,58718.00289765248,48000.0
107,20107.0,58684.93986341089,54000.0
108,20108.0,59010.578563961615,54000.0
109,20109.0,55013.23967409152,60000.0
110,20110.0,49772.22630163759,48000.0
111,20111.0,47044.14901196426,60000.0
112,20112.0,46270.866304924835,66000.0
113,20113.0,46374.425371565514,66000.0
114,20114.0,44942.99926969824,54000.0
115,20115.0,44107.28770420539,54000.0
116,20116.0,46686.36290436057,42000.0
117,20117.0,48976.31426002831,42000.0
118,20118.0,50708.74380590844,30000.0
119,20119.0,48467.709501604826,36000.0
120,20120.0,47155.749752620955,54000.0
121,20121.0,47116.70783781066,48000.0
122,20122.0,45206.50329978761,48000.0
123,20123.0,46043.1498521415,42000.0
124,20124.0,45839.745839841395,54000.0
125,20125.0,45835.61447799334,54000.0
126,20126.0,47208.31322118427,66000.0
127,20127.0,47256.728845208665,54000.0
128,20128.0,44877.26695312746,42000.0
129,20129.0,44840.93241462427,42000.0
130,20130.0,44592.19614395187,36000.0
131,20131.0,43471.44120531954,24000.0
132,20132.0,44774.32532764477,36000.0
133,20133.0,47901.75925844013,36000.0
134,20134.0,52319.24468427475,42000.0
135,20135.0,56020.742999962866,48000.0
136,20136.0,55502.6472952985,60000.0
137,20137.0,53215.15683250126,60000.0
138,20138.0,50672.44892752899,60000.0
139,20139.0,48467.709501604826,48000.0
140,20140.0,46261.69809630132,36000.0
141,20141.0,46990.46498197358,54000.0
142,20142.0,49289.469951512685,48000.0
143,20143.0,51702.65409948029,48000.0
144,20144.0,51782.775042890295,48000.0
145,20145.0,51213.469619832606,42000.0
146,20146.0,53456.32048761581,42000.0
147,20147.0,55504.88894595787,48000.0
148,20148.0,54771.54829492522,66000.0
149,20149.0,55296.335436582056,60000.0
150,20150.0,55966.32454694199,60000.0
151,20151.0,52635.25849743044,54000.0
152,20152.0,47596.89949832595,42000.0
153,20153.0,46650.47577572292,54000.0
154,20154.0,46139.00228615134,48000.0
155,20155.0,45732.87289411234,48000.0
156,20156.0,46497.217089006765,42000.0
157,20157.0,48061.269021678374,36000.0
158,20158.0,48614.559604263806,42000.0
159,20159.0,48467.709501604826,48000.0
160,20160.0,47988.700202833,54000.0
161,20161.0,46723.967802834464,54000.0
162,20162.0,46320.15914946263,54000.0
163,20163.0,42797.96791884616,54000.0
164,20164.0,39023.16012767234,42000.0
165,20165.0,37430.29267064376,54000.0
166,20166.0,34052.428811349426,42000.0
